"mu","theta","sigma","genotype"
-6.79125694955059,0.770524442114704,0.741825110128591,"wt"
-6.80691907525657,0.781497358812245,0.711635392768429,"wt"
-6.79907961000048,0.775096255356643,0.726649178317313,"wt"
-6.79291503717721,0.793442975195097,0.747483549672728,"wt"
-6.80691848907223,0.78149726733974,0.711635317666245,"wt"
-6.79734582607073,0.752951837549731,0.721451114601857,"wt"
-6.79125670721602,0.770525461661287,0.7418258671136,"wt"
-6.80517951026698,0.757825130303876,0.706200607537485,"wt"
-6.80858346609767,0.807762264967328,0.717845883237453,"wt"
-6.79907988825448,0.775097809373951,0.726649943833211,"wt"
-6.79734577219114,0.752954089137793,0.721452533914123,"wt"
-6.79907950810823,0.775096959588883,0.726649310006879,"wt"
-6.80074195196775,0.799506763225846,0.732542043619804,"wt"
-6.80858306873787,0.807757141419011,0.717843430373108,"wt"
-6.80074170643619,0.799507482540578,0.732542054482467,"wt"
-6.79734583696549,0.752954717098601,0.721452735261767,"wt"
-6.79907986514273,0.775096704263432,0.726649641072976,"wt"
-6.79125654471708,0.770519843450221,0.741823173782935,"wt"
-6.80336624146743,0.73631720089359,0.701411954499818,"wt"
-6.79734577226339,0.752954370507651,0.721452552172182,"wt"
-6.7973454628004,0.752954133608597,0.721452275454714,"wt"
-6.80858352750772,0.807760551274467,0.717845186369936,"wt"
-6.80691883008525,0.781495920356978,0.711634784332053,"wt"
-6.79291514891123,0.793443890072964,0.74748391279067,"wt"
-6.7990796493334,0.775092580698153,0.726647666969472,"wt"
-6.80517940113875,0.75782238770028,0.706199416450251,"wt"
-6.80517938178371,0.757823840395864,0.706199979674933,"wt"
-6.79907975819563,0.775097127015385,0.726649554787653,"wt"
-6.8007422312456,0.799505024616347,0.732540980266674,"wt"
-6.80517940388197,0.757825448958481,0.706200774923574,"wt"
-6.79907943408131,0.775096327233634,0.726648784888676,"wt"
-6.80691860499588,0.781492230680167,0.711632850060673,"wt"
-6.79907985953042,0.775097730267105,0.726649911070542,"wt"
-6.79907994595986,0.775098638412871,0.726650318406411,"wt"
-6.79734582250466,0.752954347096098,0.721452569506716,"wt"
-6.80691889931758,0.781498140397028,0.711635686545667,"wt"
-6.79291560959349,0.793438003553795,0.747481037620626,"wt"
-6.80074205998372,0.799508209132861,0.732542587217211,"wt"
-6.79907989209074,0.775096981360638,0.726649556538699,"wt"
-6.80691894440653,0.781498208461294,0.711635723721122,"wt"
-6.80074187394155,0.799503492971593,0.732540568837358,"wt"
-6.79291503779547,0.793443643672685,0.747483709053694,"wt"
-6.7990800824851,0.775097514371965,0.726649538814855,"wt"
-6.80074228217622,0.799503853998852,0.732540516631278,"wt"
-6.79734606943554,0.752953216164107,0.721452132546473,"wt"
-6.80691867536247,0.781496749366304,0.711634904365325,"wt"
-6.79291483701266,0.79344302299053,0.747483553252404,"wt"
-6.79907966059674,0.775096797813145,0.726649291795371,"wt"
-6.79291523296886,0.793444427981077,0.747484138385009,"wt"
-6.80691889237852,0.78149832221126,0.71163578448436,"wt"
-6.79907976630964,0.775096296638062,0.72664925575931,"wt"
-6.80691894607439,0.781497028181863,0.711635347308087,"wt"
-6.79908000296892,0.775094730994418,0.72664803679942,"wt"
-6.80074257889685,0.79950266120985,0.732539940064851,"wt"
-6.797346099593,0.752951651194597,0.721451287687554,"wt"
-6.79907979202094,0.775094595103268,0.726648555935786,"wt"
-6.79125686142194,0.770517874382302,0.741822044297667,"wt"
-6.79734576081841,0.752950810733441,0.721450628117318,"wt"
-6.8007417733309,0.799506374439729,0.732541771492351,"wt"
-6.80517939174654,0.75782279225497,0.706199386635273,"wt"
-6.80691889184594,0.781498255159232,0.711635750504021,"wt"
-6.79734557698863,0.752953632821803,0.721452216262273,"wt"
-6.80517922997724,0.757824836235012,0.706200501989788,"wt"
-6.78510008803006,0.789174346871282,0.762609908575464,"wt"
-6.79907998791526,0.775095500005554,0.726648538066649,"wt"
-6.79291496420402,0.793443021607212,0.747483375370651,"wt"
-6.79907974136112,0.77509570088988,0.72664855940147,"wt"
-6.79125668978588,0.770525583502267,0.741825925018743,"wt"
-6.80074217926636,0.799507984693323,0.732542402779277,"wt"
-6.79907997200818,0.775095787060977,0.72664864945413,"wt"
-6.7990796272546,0.775097838589293,0.726650077225179,"wt"
-6.80691920253778,0.781495599677669,0.71163463688032,"wt"
-6.80074208495866,0.799508090954006,0.732542579230575,"wt"
-6.79734580786397,0.752954945806281,0.721452612058171,"wt"
-6.80336628147841,0.736319087266916,0.701412913051145,"wt"
-6.79908001102737,0.775095238206313,0.72664867160604,"wt"
-6.80517936560145,0.757825161831874,0.706200640896546,"wt"
-6.80517933460462,0.757825249875025,0.706200500908439,"wt"
-6.79907990167421,0.775096504101661,0.726649269300356,"wt"
-6.7973458475566,0.752954272840727,0.721452610361521,"wt"
-6.808583321022,0.807758199232711,0.717843956609166,"wt"
-6.79907983888965,0.775097864318955,0.726649987196744,"wt"
-6.80517922992137,0.757824161621435,0.70620021284902,"wt"
-6.79907983365622,0.77509816245929,0.726650115027828,"wt"
-6.7929151736165,0.793443416344058,0.747483652025597,"wt"
-6.79291489802093,0.793440009687205,0.747482000877416,"wt"
-6.80517979343772,0.757821230259628,0.706198752967605,"wt"
-6.79291516942092,0.793444018165425,0.74748397519063,"wt"
-6.79907992164156,0.775095290552433,0.726648630978944,"wt"
-6.79907984971749,0.775097772204262,0.726649881006008,"wt"
-6.79291500579244,0.793442102317349,0.747483300266489,"wt"
-6.80691900340009,0.781496485271553,0.711634913288851,"wt"
-6.7929150391657,0.793440727639984,0.747482386951538,"wt"
-6.80517937963708,0.757821860597004,0.706199089734738,"wt"
-6.80691914995567,0.781497862750295,0.711635479726439,"wt"
-6.79291526784636,0.793442999116068,0.747483465348626,"wt"
-6.80691896141463,0.781495881392277,0.711634451907246,"wt"
-6.80517960817504,0.757823094946286,0.70619977483042,"wt"
-6.78509978993999,0.789176349388755,0.76261069840281,"wt"
-6.79125685668779,0.77052415000422,0.741824754464504,"wt"
-6.79907973051269,0.775097404993353,0.726649595475062,"wt"
-6.79907984930869,0.775097937055586,0.72665002921009,"wt"
-6.80517953932554,0.757824595836938,0.706200211514061,"wt"
-6.79907970835148,0.775093271795154,0.726647649696501,"wt"
-6.79907970376641,0.775095615186326,0.726648960025362,"wt"
-6.79907944162353,0.775096409934566,0.72664916771791,"wt"
-6.80691895857727,0.781497463356619,0.711635385794106,"wt"
-6.79125673003825,0.770525798791693,0.741826037717666,"wt"
-6.80517928164119,0.757825012630839,0.706200563759217,"wt"
-6.78510001295614,0.789174584440198,0.762610081200916,"wt"
-6.79734582754559,0.752953726866353,0.721452312838128,"wt"
-6.80074206808271,0.799508278504173,0.732542589683589,"wt"
-6.80691888961906,0.781498262985515,0.71163575894298,"wt"
-6.80074202216566,0.799502634444822,0.732539806049701,"wt"
-6.79291511252269,0.793443309968875,0.747483685577917,"wt"
-6.80074206354924,0.799506733875172,0.732541976510905,"wt"
-6.78509985423572,0.789176255443812,0.762610675711785,"wt"
-6.80517937218594,0.757824976692997,0.706200609801443,"wt"
-6.79907988598723,0.775096362810988,0.726649217529119,"wt"
-6.79291534558902,0.79343985259244,0.747481982709844,"wt"
-6.80074212538124,0.799508291133931,0.732542744302093,"wt"
-6.79907980338577,0.775098139445377,0.726650085010402,"wt"
-6.80691892177118,0.78149625293407,0.711634982055207,"wt"
-6.79291511940124,0.793442155332742,0.747483086411978,"wt"
-6.79908041672766,0.775096693534887,0.726649557533265,"wt"
-6.79907992031861,0.775096121819672,0.726649412402177,"wt"
-6.79907977370317,0.775096458228125,0.726649367682643,"wt"
-6.80691889016714,0.781498200075699,0.711635728666118,"wt"
-6.7990796697749,0.775094428565878,0.726648455636594,"wt"
-6.80691880800582,0.781496621585359,0.711634980436162,"wt"
-6.80074208558382,0.799505825476292,0.732541110174986,"wt"
-6.79291518036,0.793443872930768,0.747483908158883,"wt"
-6.80691895529374,0.781496810333295,0.711635058351826,"wt"
-6.80074247606082,0.799507125715703,0.732541725490292,"wt"
-6.79734582545434,0.75295444884184,0.72145258560055,"wt"
-6.80517942447519,0.757825326162463,0.70620063407011,"wt"
-6.80691847446804,0.781495802876061,0.711634625166779,"wt"
-6.80074198240913,0.79950643451445,0.732541825325357,"wt"
-6.79291530811743,0.793439911518865,0.747482087685425,"wt"
-6.79907978821099,0.775098076855845,0.726649926272721,"wt"
-6.79908002837041,0.77509783888367,0.726649932699927,"wt"
-6.8007421082564,0.79950822386894,0.732542634935115,"wt"
-6.79734584826397,0.752954432680553,0.721452591904402,"wt"
-6.80074212341253,0.799507897930649,0.732542482794726,"wt"
-6.7990798210251,0.775097335195457,0.726649301253037,"wt"
-6.79907971454083,0.775096880186454,0.726649363225995,"wt"
-6.79125688073793,0.770522340457855,0.741824534912921,"wt"
-6.7929147599431,0.793441321504481,0.74748315503633,"wt"
-6.80517936196985,0.757824539603398,0.706200330244723,"wt"
-6.80691916396536,0.781495582666137,0.711634236945422,"wt"
-6.79907997179813,0.775097605605617,0.726649785577354,"wt"
-6.8033663022442,0.73631894483811,0.701412882243577,"wt"
-6.80517937978992,0.757825666322915,0.706200785107973,"wt"
-6.8085844328613,0.807755596675688,0.717842731275928,"wt"
-6.79734588370742,0.752953359510378,0.721452066677334,"wt"
-6.79907983897941,0.775097925762356,0.726650014117096,"wt"
-6.80517946557368,0.757824179621891,0.706200112884213,"wt"
-6.79907984641875,0.775097882278624,0.726649998895888,"wt"
-6.79734560620743,0.752953946619284,0.721452256229297,"wt"
-6.79125695984799,0.770525495567045,0.741825744204949,"wt"
-6.80691878058575,0.78149607945986,0.711634486190525,"wt"
-6.79125650861583,0.770522406638476,0.741824348101698,"wt"
-6.79291519034821,0.793440637867289,0.747482131950544,"wt"
-6.80691477595554,0.781474222437194,0.71162622759911,"wt"
-6.80336625784673,0.736318445265434,0.701412577314951,"wt"
-6.79291529674539,0.793443020203996,0.747483526187959,"wt"
-6.7912563290261,0.770524756280462,0.741825993086555,"wt"
-6.79125659538098,0.770524370631487,0.741825360396495,"wt"
-6.80336649826773,0.736317206762194,0.701412172864685,"wt"
-6.79125642355866,0.770523033108119,0.741824832452743,"wt"
-6.79907992434414,0.775096847212476,0.726649604905185,"wt"
-6.79907984783998,0.775097934904547,0.726650022046576,"wt"
-6.8007421285583,0.799505046761063,0.73254140073071,"wt"
-6.79734624949813,0.752957072892855,0.721453973098622,"wt"
-6.79125606039134,0.770523258638356,0.741824565021016,"wt"
-6.80517919049828,0.75782345627659,0.706199706177902,"wt"
-6.80336598908593,0.73631975520412,0.701413014382212,"wt"
